priority,status,suggested_mode,display_name,normalized_name,aftership_slug,seventeen_track_key,country_iso,url,notes
P0,module_scaffolded,dedicated_scraper,4PX,4px,4px,190094,CN,https://www.4px.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,Aramex,aramex,aramex,100006,SA,https://www.aramex.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,Australia Post,australia post,australia-post,1151,AU,http://auspost.com.au/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,Canada Post,canada post,canada-post,3041,CA,https://www.canadapost.ca/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,China Post,china post,china-post,3011,CN,https://www.ems.com.cn/qps/yjcx/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,DHL,dhl,mydhl-api,101266,DE,https://www.dhl.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,DHL Express,dhl express,dhl,100001,DE,https://mydhl.express.dhl/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,DPD UK,dpd uk,dpd-uk,100010,GB,https://www.dpd.co.uk/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,EMS,ems,ems,,,,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,EVRi,evri,myhermes-uk,100331,GB,https://www.evri.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,FedEx®,fedex,fedex,100003,US,https://www.fedex.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,GLS,gls,gls,100005,GB,https://gls-group.eu/EU/en/home,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,Japan Post,japan post,japan-post,10021,JP,https://www.japanpost.jp/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,La Poste,la poste,la-poste-colissimo,,,,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,LaserShip,lasership,lasership,100052,US,https://www.lasership.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,OnTrac,ontrac,ontrac,100049,US,https://www.ontrac.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,Royal Mail,royal mail,,11031,GB,https://www.royalmail.com/,Already present in Trackified registry; needs fixture/live verification before verified.
P0,module_scaffolded,dedicated_scraper,SF Express,sf express,sf-express-api,100012,CN,https://intl.sf-express.com/,Already present in Trackified registry; needs fixture/live verification before verified.
